station  fo     Ao    f_sigma  A_sigma  N  C1  C2  C3  C4  C5  C6  Peak_type	   Peak_Qualily
  332   0.790  2.003   0.139    0.135   73  1   1   1   0   1   1   single            clear
  333   0.870  1.605   0.270    0.114   85  0   1   1   0   0   1   multiple        unclear
  334   1.160  1.537   0.381    0.110   88  -   -   -   -   -   -   broad           unclear
  401   0.865  2.067   0.163    0.284   85  1   1   1   1   1   1   multiple          clear
  402   0.967  2.081   0.161    0.161   85  1   1   1   0   1   1   single            clear
  403   0.688  2.539   0.211    0.266   90  1   1   1   0   1   1   single            clear
  404   0.785  2.187   0.136    0.091   84  1   1   1   0   1   1   single            clear
  405   0.713  2.142   0.118    0.152   99  1   1   1   0   1   1   multiple          clear
  406   0.885  2.415   0.400    0.115   65  1   1   1   0   0   1   single          unclear
  407   0.746  1.339   0.112    0.188   92  0   1   1   1   1   1   single            clear
  408   0.819  2.472   0.125    0.193   93  1   1   1   0   1   1   single            clear
  409   0.896  1.914   0.049    0.129  105  0   1   1   1   1   1   single            clear
  410   0.871  1.703   0.057    0.098   98  0   1   1   1   1   1   single            clear
  411   0.877  1.378   0.053    0.104  100  0   1   1   1   1   1   multiple          clear
  412   0.969  1.690   0.076    0.171   35  0   1   1   1   1   1   single            clear
  413   0.888  1.600   0.036    0.162  106  0   1   1   1   1   1   single            clear
  414   0.917  1.599   0.101    0.119  122  0   1   1   1   1   1   single            clear
  415   0.879  3.189   0.123    0.119  120  1   1   1   0   1   1   single            clear
  416   2.515  1.927   0.727    0.096  139  -   -   -   -   -   -   broad           unclear
  417   -      -       -   	-      127  -   -   -   -   -   -   flat            unclear
  418   -      -       -        -      143  -   -   -   -   -   -   flat            unclear
  419   0.626  1.740   0.476    0.057  118  0   0   1   0   0   1   multiple        unclear
  420   -      -       -   	-       59  -   -   -   -   -   -   flat            unclear
  421   -      -       -   	-      121  -   -   -   -   -   -   flat            unclear
  422   0.671  1.823   0.381    0.074  119  1   0   0   0   0   1   single          unclear
  423   -      -       -        -      122  -   -   -   -   -   -   flat            unclear
  424   6.831  2.401   2.931    0.188  118  -   -   -   -   -   -   broad           unclear
  425   6.326  2.111   0.387    0.088  122  1   0   1   0   0   1   single          unclear
  426   5.366  2.194   0.493    0.055  126  1   0   0   0   0   1   single          unclear
